symbol,most_recent_quarter,shares_outstanding,payout_ratio,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue_per_share,quarterly_revenue_growth,ebitda,diluted_eps,quarterly_earnings_growth,total_cash_per_share,total_debt_to_equity,current_ratio,operating_cash_flow
NCTY,2020-06-29,10400000.0,0.0,558.0129000000001,0.0,-0.6282,-999.0,-999.0,0.853,-999.0,-1.28,-999.0,-999.0,-999.0,0.17,-999.0
YGMZ,2020-06-29,12000000.0,0.0,0.0501,0.0838,-999.0,-999.0,3.09,-0.0819999999999999,3760000.0,-999.0,-0.664,0.04,38.36,1.71,-999.0
BHK,2020-06-29,53940000.0,0.3085,-0.4802,0.8583,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.04,36.47,0.12,22420000.0
WEI,2020-06-29,70460000.0,0.0,-0.1846999999999999,0.0,-0.0443,-0.1673,-999.0,-0.502,-999.0,1.401,-999.0,-999.0,8.62,1.62,-999.0
DIAX,2020-06-29,36370000.0,-999.0,0.0,0.611,0.0096,-0.1131,0.42,-0.073,-999.0,-1.86,-999.0,-999.0,-999.0,0.81,-999.0
AIF,2020-06-29,14460000.0,2.1604,-0.6437999999999999,0.7911,0.0326,-0.0707,1.72,-0.206,-999.0,-1.11,-999.0,0.62,52.3,0.28,39270000.0
FUND,2020-06-29,29540000.0,-999.0,-0.4692,0.5782,0.0093,-0.0126,0.19,-0.032,-999.0,-0.09,-999.0,0.0,-999.0,1.89,-999.0
NBTX,2020-06-29,34430000.0,0.0,0.0,0.0,-0.4653,-999.0,-999.0,-0.222,-999.0,-999.0,-999.0,-999.0,-999.0,2.06,-999.0
WNW,2020-06-29,25000000.0,0.0,-0.3176,-0.3173,-999.0,-999.0,0.45,0.214,-2320000.0,-999.0,-999.0,0.01,-999.0,0.33,-1520000.0
UTSI,2020-06-29,35620000.0,0.0,-0.4435,-0.3211,-0.0518,-0.1889999999999999,1.14,-0.507,-12480000.0,-0.506,-999.0,0.93,2.65,2.66,-6850000.0
FSTX,2020-06-29,9070000.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-0.924,-999.0,-999.0,-999.0,-999.0,78.66,0.31,-999.0
BCACW,2020-06-29,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.01,-999.0
CYAD,2020-06-29,14210000.0,0.0,0.0,0.0,-0.2153,-0.8216,-999.0,-999.0,-999.0,-7.01,-999.0,-999.0,12.22,2.73,-999.0
TEI,2020-06-29,48000000.0,-999.0,-2.164,0.8361,0.0312,-0.1314,0.61,-0.3829999999999999,-999.0,-1.31,-999.0,0.0,-999.0,1.81,-999.0
BLUWW,2020-06-29,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,51.57,-999.0,-999.0
BLUWU,2020-06-29,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,51.57,-999.0,-999.0
BLUW,2020-06-29,5810000.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,51.57,-999.0,-999.0
VINC,2020-06-29,13980000.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
VINCU,2020-06-29,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
VINCW,2020-06-29,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
MKD,2020-06-29,129640000.0,0.0,-0.0155,0.0,-0.2221,-999.0,-999.0,-0.133,-999.0,-999.0,-999.0,-999.0,121.57,1.14,-999.0
EEA,2020-06-29,7460000.0,3.012,0.1714,0.3852,0.0051,0.0036,0.22,-0.377,-999.0,0.04,-999.0,0.03,-999.0,2.65,-999.0
SOR,2020-06-29,8480000.0,-999.0,-1.0346,0.6584,0.012,-0.0306,1.22,0.158,-999.0,-1.26,-999.0,0.33,-999.0,4.84,-999.0
RCON,2020-06-29,17920000.0,0.0,-0.2927,0.0,-0.0718,-0.177,-999.0,-0.412,-999.0,-0.584,-999.0,-999.0,25.46,1.98,-999.0
SOS,2020-06-29,115460000.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,132.905,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PCQ,2020-06-29,18870000.0,0.8966,0.7149,0.8356999999999999,0.0204999999999999,0.036,1.02,-0.124,-999.0,0.6,-0.967,-999.0,21.86,0.32,53620000.0
BHAT,2020-06-29,46970000.0,0.0,0.3425,0.3677,0.1024,0.1895,0.59,-0.178,8960000.0,0.279,-0.54,0.32,5.58,3.42,-999.0
CSCW,2020-06-29,58810000.0,0.0,0.0,0.0,-0.1052999999999999,-1.4536000000000002,-999.0,-999.0,-4030000.000000001,-999.0,-999.0,0.02,0.65,5.98,-2540000.0
WPP,2020-06-29,245070000.0,-999.0,-0.1865,0.0,-0.036,-0.2781,-999.0,-0.123,-999.0,9.89,-999.0,-999.0,135.81,1.05,-999.0
GUT,2020-06-29,54920000.0,-999.0,-2.5998,0.5649000000000001,0.0098999999999999,-0.0732,0.18,-0.155,-999.0,-0.55,-999.0,0.0,-999.0,0.85,-999.0
MREO,2020-06-29,108140000.0,0.0,0.0,0.0,-0.2080999999999999,-3.4402,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,164.26,2.98,-999.0
HUSN,2020-06-29,6410000.0,0.0,0.0,-57.6782,-0.4629999999999999,-0.8499,0.03,-1.0,-7840000.0,-999.0,-999.0,0.59,5.22,4.47,-999.0
SWZ,2020-06-29,13260000.0,1.0029,1.9913,0.0807,0.0011,0.0446,0.21,0.038,-999.0,0.41,-999.0,0.38,-999.0,11.61,-999.0
DXF,2020-06-29,20870000.0,0.0,0.7985,0.0,0.0406,0.0668,-999.0,-0.85,-999.0,0.42,-0.894,-999.0,39.83,2.54,-999.0
BCAC,2020-06-29,7430000.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.01,-999.0
BCACU,2020-06-29,-999.0,-999.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.01,-999.0
SPE,2020-06-29,8500000.0,-999.0,-1.551,0.5438000000000001,0.0106,-0.0491,0.66,0.153,-999.0,-1.25,-999.0,0.0,-999.0,1.58,11950000.0
MPV,2020-06-29,10600000.0,7.7692,0.1073,0.8299,0.0412,0.0095,1.18,-0.223,-999.0,0.13,-0.594,1.12,10.89,16.52,8189999.999999999
ESGC,2020-06-29,357230000.0,0.0,-0.3048,-0.2325,-999.0,-999.0,34.45,-0.122,-90420000.0,-999.0,-999.0,4.82,-999.0,0.91,-69060000.0
LOV,2020-06-29,26060000.0,0.0,-0.0527,0.0,0.0273,-0.1332,-999.0,1.101,-999.0,-0.677,-999.0,-999.0,65.91,0.29,-999.0
CHNR,2020-06-29,37950000.0,0.0,0.0022,0.0,-0.7563,-999.0,-999.0,3.895,-999.0,-0.234,-999.0,-999.0,-999.0,0.13,-999.0
BUR,2020-06-29,219050000.0,0.0641,0.432,0.6922,0.0555,0.087,1.51,-0.1119999999999999,239830000.0,-999.0,-0.313,1.26,37.43,20.97,79300000.0
FEO,2020-06-29,5030000.0,-999.0,-0.6581999999999999,0.6970000000000001,0.0239,-0.0392,0.87,-0.278,-999.0,-0.57,-999.0,0.16,8.46,0.49,6710000.0
RCS,2020-06-29,44190000.0,0.2612,-0.5155,0.9297,0.0159,-0.0715,0.9,0.074,-999.0,-0.46,-999.0,0.12,68.41,0.5,74270000.0
UTF,2020-06-29,93520000.0,-999.0,-2.0817,0.6951999999999999,0.0141999999999999,-0.0955,1.08,-0.067,-999.0,-2.24,-999.0,0.03,40.14,0.02,156470000.0
FFA,2020-06-29,19980000.0,1.7538,1.9419,0.4545,0.006,0.0409999999999999,0.33,-0.12,-999.0,0.64,-999.0,0.11,-999.0,3.62,-999.0
EARS,2020-06-29,11420000.0,0.0,0.0,0.0,-0.3535999999999999,-0.8467,-999.0,-999.0,-999.0,-1.327,-999.0,-999.0,1.12,0.16,-999.0
JRS,2020-06-29,28890000.0,-999.0,0.0,0.7226,0.0154,-0.1626999999999999,0.49,-0.175,-999.0,-1.6,-999.0,0.0,42.95,0.09,46910000.0
RCG,2020-06-29,5950000.0,0.0,0.0,-1.2366,-0.0069999999999999,-0.1116,0.02,-0.258,-999.0,-0.2,-999.0,0.0,0.01,0.16,-999.0
GLU,2020-06-29,5370000.0,-999.0,-2.7457,0.6531,0.0101,-0.0681,0.74,-0.204,-999.0,-2.69,-999.0,0.02,-999.0,1.4,-999.0
IIF,2020-06-29,13320000.0,0.0,0.0,0.0909,0.0008,-0.2505,0.3,-0.1689999999999999,-999.0,-5.36,-999.0,1.03,-999.0,35.39,-999.0
USA,2020-06-29,212850000.0,3.8235,1.5874,0.4073,0.0042,0.0264,0.1,-0.057,-999.0,0.17,-999.0,0.0,0.51,1.2,-999.0
GDV,2020-06-29,90530000.0,-999.0,-2.4148,0.528,0.0070999999999999,-0.0518,0.56,-0.047,-999.0,-1.6,-999.0,0.0,-999.0,2.64,-999.0
GNFT,2020-06-29,41840000.0,0.0,-1.7198,0.0,-0.1369999999999999,-1.0519,-999.0,-0.001,-999.0,-999.0,-999.0,-999.0,588.35,5.71,-999.0
PLIN,2020-06-29,23890000.0,0.0,-0.0441,0.0046999999999999,0.0056,-0.1014,4.93,-999.0,1020000.0,0.21,-999.0,0.05,68.35,1.54,-5910000.0
RENN,2020-06-29,23580000.0,0.0,-0.7701,-0.593,-0.215,-0.976,7.49,-0.804,-103510000.0,-5.77,-999.0,0.22,26.34,0.64,-999.0
